date,season,ave_hour_count
1-1-2011,Winter,41.041666666666664
1-10-2011,Winter,55.041666666666664
1-11-2011,Winter,57.40909090909091
1-12-2011,Winter,52.81818181818182
1-13-2011,Winter,58.583333333333336
1-14-2011,Winter,61.78260869565217
1-15-2011,Winter,52
1-16-2011,Winter,50.166666666666664
1-17-2011,Winter,41.666666666666664
1-18-2011,Winter,56.916666666666664
1-19-2011,Winter,71.73913043478261
1-2-2011,Winter,34.82608695652174
1-3-2011,Winter,61.31818181818182
1-4-2011,Winter,67.91304347826087
1-5-2011,Winter,69.56521739130434
1-6-2011,Winter,69.82608695652173
1-7-2011,Winter,65.65217391304348
1-8-2011,Winter,39.958333333333336
1-9-2011,Winter,34.25
10-1-2011,Fall,101.20833333333333
10-10-2011,Fall,213.20833333333334
10-11-2011,Fall,190.125
10-12-2011,Fall,100.66666666666667
10-13-2011,Fall,121.375
10-14-2011,Fall,151.83333333333334
10-15-2011,Fall,217.375
10-16-2011,Fall,210.04166666666666
10-17-2011,Fall,190.41666666666666
10-18-2011,Fall,197.83333333333334
10-19-2011,Fall,105.3913043478261
10-2-2011,Fall,121.58333333333333
10-3-2011,Fall,148.75
10-4-2011,Fall,185.66666666666666
10-5-2011,Fall,201.08333333333334
10-6-2011,Fall,198.54166666666666
10-7-2011,Fall,207.70833333333334
10-8-2011,Fall,225.375
10-9-2011,Fall,229.625
11-1-2011,Fall,169.5
11-10-2011,Fall,122.20833333333333
11-11-2011,Fall,140.33333333333334
11-12-2011,Fall,169.45833333333334
11-13-2011,Fall,154.875
11-14-2011,Fall,186.91666666666666
11-15-2011,Fall,174.79166666666666
11-16-2011,Fall,75.70833333333333
11-17-2011,Fall,127.20833333333333
11-18-2011,Fall,141.33333333333334
11-19-2011,Fall,152.625
11-2-2011,Fall,174.41666666666666
11-3-2011,Fall,165.58333333333334
11-4-2011,Fall,168.58333333333334
11-5-2011,Fall,163.58333333333334
11-6-2011,Fall,152.04166666666666
11-7-2011,Fall,168.125
11-8-2011,Fall,175.20833333333334
11-9-2011,Fall,171.20833333333334
12-1-2011,Winter,155.29166666666666
12-10-2011,Winter,132.91666666666666
12-11-2011,Winter,114.29166666666667
12-12-2011,Winter,137.91666666666666
12-13-2011,Winter,146.79166666666666
12-14-2011,Winter,155.83333333333334
12-15-2011,Winter,154.54166666666666
12-16-2011,Winter,149.04166666666666
12-17-2011,Winter,114.125
12-18-2011,Winter,101.29166666666667
12-19-2011,Winter,141.79166666666666
12-2-2011,Winter,164.16666666666666
12-3-2011,Winter,150.58333333333334
12-4-2011,Winter,145.20833333333334
12-5-2011,Winter,158.79166666666666
12-6-2011,Winter,108.08333333333333
12-7-2011,Winter,29.375
12-8-2011,Winter,138.41666666666666
12-9-2011,Winter,150.83333333333334
2-1-2011,Winter,59.130434782608695
2-10-2011,Winter,66.8695652173913
2-11-2011,Winter,79.36363636363636
2-12-2011,Winter,61.333333333333336
2-13-2011,Winter,69.08695652173913
2-14-2011,Winter,79.70833333333333
2-15-2011,Winter,78.91304347826087
2-16-2011,Winter,91.95652173913044
2-17-2011,Winter,103.125
2-18-2011,Winter,121.95833333333333
2-19-2011,Winter,68.125
2-2-2011,Winter,63.583333333333336
2-3-2011,Winter,67.3913043478261
2-4-2011,Winter,74.26086956521739
2-5-2011,Winter,41.875
2-6-2011,Winter,67.625
2-7-2011,Winter,71.33333333333333
2-8-2011,Winter,63.75
2-9-2011,Winter,69.78260869565217
3-1-2011,Spring,77.125
3-10-2011,Spring,28.318181818181817
3-11-2011,Spring,85.95652173913044
3-12-2011,Spring,88.83333333333333
3-13-2011,Spring,105.08695652173913
3-14-2011,Spring,88.95652173913044
3-15-2011,Spring,89.3913043478261
3-16-2011,Spring,95.30434782608695
3-17-2011,Spring,114.33333333333333
3-18-2011,Spring,140.82608695652175
3-19-2011,Spring,129.875
3-2-2011,Spring,88.91666666666667
3-3-2011,Spring,70.20833333333333
3-4-2011,Spring,81
3-5-2011,Spring,86.54166666666667
3-6-2011,Spring,26.304347826086957
3-7-2011,Spring,81.3913043478261
3-8-2011,Spring,88.875
3-9-2011,Spring,78.79166666666667
4-1-2011,Spring,92.79166666666667
4-10-2011,Spring,120.625
4-11-2011,Spring,145.56521739130434
4-12-2011,Spring,84.75
4-13-2011,Spring,90.08333333333333
4-14-2011,Spring,136.125
4-15-2011,Spring,130.25
4-16-2011,Spring,33.125
4-17-2011,Spring,156
4-18-2011,Spring,142.875
4-19-2011,Spring,133.5
4-2-2011,Spring,93.83333333333333
4-3-2011,Spring,135.375
4-4-2011,Spring,129.79166666666666
4-5-2011,Spring,74.79166666666667
4-6-2011,Spring,117
4-7-2011,Spring,130.875
4-8-2011,Spring,61.291666666666664
4-9-2011,Spring,102.29166666666667
5-1-2011,Spring,139.625
5-10-2011,Spring,200.125
5-11-2011,Spring,174.25
5-12-2011,Spring,202.66666666666666
5-13-2011,Spring,171.04166666666666
5-14-2011,Spring,142.04166666666666
5-15-2011,Spring,189.70833333333334
5-16-2011,Spring,164.91666666666666
5-17-2011,Spring,171.79166666666666
5-18-2011,Spring,160.625
5-19-2011,Spring,190.625
5-2-2011,Spring,183.375
5-3-2011,Spring,185.45833333333334
5-4-2011,Spring,109.70833333333333
5-5-2011,Spring,184.70833333333334
5-6-2011,Spring,192
5-7-2011,Spring,196.41666666666666
5-8-2011,Spring,180.54166666666666
5-9-2011,Spring,181.75
6-1-2011,Summer,165.58333333333334
6-10-2011,Summer,191.08333333333334
6-11-2011,Summer,206.91666666666666
6-12-2011,Summer,185.83333333333334
6-13-2011,Summer,209.16666666666666
6-14-2011,Summer,203.79166666666666
6-15-2011,Summer,215.83333333333334
6-16-2011,Summer,156.95833333333334
6-17-2011,Summer,201.83333333333334
6-18-2011,Summer,213.29166666666666
6-19-2011,Summer,197.66666666666666
6-2-2011,Summer,207
6-3-2011,Summer,221.33333333333334
6-4-2011,Summer,222.58333333333334
6-5-2011,Summer,204.41666666666666
6-6-2011,Summer,189.5
6-7-2011,Summer,201.375
6-8-2011,Summer,183.375
6-9-2011,Summer,163.125
7-1-2011,Summer,223.41666666666666
7-10-2011,Summer,203.375
7-11-2011,Summer,170.25
7-12-2011,Summer,177.41666666666666
7-13-2011,Summer,180.91666666666666
7-14-2011,Summer,211.83333333333334
7-15-2011,Summer,230.75
7-16-2011,Summer,246.79166666666666
7-17-2011,Summer,220.91666666666666
7-18-2011,Summer,185.75
7-19-2011,Summer,189.20833333333334
7-2-2011,Summer,213.29166666666666
7-3-2011,Summer,193.70833333333334
7-4-2011,Summer,251.79166666666666
7-5-2011,Summer,194.375
7-6-2011,Summer,192.875
7-7-2011,Summer,191.33333333333334
7-8-2011,Summer,168.33333333333334
7-9-2011,Summer,222.33333333333334
8-1-2011,Summer,177.75
8-10-2011,Summer,199.16666666666666
8-11-2011,Summer,199.66666666666666
8-12-2011,Summer,204.375
8-13-2011,Summer,172.91666666666666
8-14-2011,Summer,159.16666666666666
8-15-2011,Summer,180.75
8-16-2011,Summer,196.875
8-17-2011,Summer,195.58333333333334
8-18-2011,Summer,158.54166666666666
8-19-2011,Summer,173.04166666666666
8-2-2011,Summer,201.875
8-3-2011,Summer,148.91666666666666
8-4-2011,Summer,190.66666666666666
8-5-2011,Summer,202.75
8-6-2011,Summer,178.91666666666666
8-7-2011,Summer,157.70833333333334
8-8-2011,Summer,180.25
8-9-2011,Summer,191.75
9-1-2011,Fall,213.125
9-10-2011,Fall,222.70833333333334
9-11-2011,Fall,210.25
9-12-2011,Fall,204.91304347826087
9-13-2011,Fall,198.45833333333334
9-14-2011,Fall,199.375
9-15-2011,Fall,152.45833333333334
9-16-2011,Fall,198.33333333333334
9-17-2011,Fall,187.95833333333334
9-18-2011,Fall,178.08333333333334
9-19-2011,Fall,189.125
9-2-2011,Fall,196.95833333333334
9-3-2011,Fall,186.83333333333334
9-4-2011,Fall,205.83333333333334
9-5-2011,Fall,139.625
9-6-2011,Fall,117.82608695652173
9-7-2011,Fall,83.16666666666667
9-8-2011,Fall,80.08695652173913
9-9-2011,Fall,147.66666666666666
